"Model","WT500 (760203)"
"Comment",""
"Version","1.31"
"Date","2025/12/19"
"Time","09:12:11"

"<Settings>"
"Wiring","NONE"
"Element","Element1","Element2","Element3"
"Module","1kV40A","1kV40A","1kV40A"
"Wiring","1P2W","1P2W","1P2W"
"Voltage Range","15V","15V","15V"
"Terminal","Direct","Direct","Direct"
"Current Range","      1A","      1A","      1A"
"Sensor Ratio","10.0000","10.0000","10.0000"
"Line Filter","Off","Off","Off"
"Frequency Filter","Off","Off","Off"
"Scaling","On"
"Vt Ratio","1.0000","1.0000","1.0000"
"Ct Ratio","1.0000","1.0000","1.0000"
"Scaling Factor","1.0000","1.0000","1.0000"
"Sync Source","U1","U1","U1"
"Average","Off"
"F1","Off"
"F2","Off"
"F3","Off"
"F4","Off"
"F5","Off"
"F6","Off"
"F7","Off"
"F8","Off"
"S,Q Formula","Type 1"
"Phase Angle","180 degree"
"Max Hold","Off"
"Null","Off"
"Measurement Mode","Normal Mode"
"Update Rate","100ms"
"Crest Factor","3"
"Delta Measure Mode","RMS"

"<Settings (Harmonics)>"
"PLL Source","U3"
"Order","1 To 50"
"THD Formula","Total"

"Store No.","Date","Time","Urms-E1","Umn-E1","Urmn-E1","Udc-E1","Uac-E1","Irms-E1","Imn-E1","Irmn-E1","Idc-E1","Iac-E1","P-E1","S-E1","Q-E1","PF-E1","DEG-E1","FU-E1","FI-E1","U+pk-E1","U-pk-E1","I+pk-E1","I-pk-E1","CfU-E1","CfI-E1","Time-E1","Wp-E1","Wp+-E1","Wp--E1","q-E1","q+-E1","q--E1","WS-E1","WQ-E1","Urms-E2","Umn-E2","Urmn-E2","Udc-E2","Uac-E2","Irms-E2","Imn-E2","Irmn-E2","Idc-E2","Iac-E2","P-E2","S-E2","Q-E2","PF-E2","DEG-E2","FU-E2","FI-E2","U+pk-E2","U-pk-E2","I+pk-E2","I-pk-E2","CfU-E2","CfI-E2","Time-E2","Wp-E2","Wp+-E2","Wp--E2","q-E2","q+-E2","q--E2","WS-E2","WQ-E2","eta1","eta2"
   11,  2025/12/19,09:06:14,5.0459E+00,5.6021E+00,5.0437E+00,5.0437E+00,150.49E-03,409.04E-03,453.09E-03,407.92E-03,407.92E-03,30.160E-03,2.0607E+00,2.0640E+00,-115.37E-03,0.9984E+00,-3.20E+00,Error,NAN,5.1010E+00,4.9816E+00,512.74E-03,325.73E-03,1.011E+00,1.254E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-1.4015E-03,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,126.15E-06,0.0000E+00,-119.77E-09,0.000E+00,0.000E+00,Error,Error,Error,NAN,55.811E-03,-60.188E-03,6.6327E-03,-6.2739E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   12,  2025/12/19,09:06:14,5.0577E+00,5.6152E+00,5.0554E+00,5.0554E+00,151.69E-03,360.58E-03,399.63E-03,359.79E-03,359.79E-03,23.834E-03,1.8220E+00,1.8237E+00,-78.718E-03,0.9991E+00,-2.47E+00,Error,NAN,5.1201E+00,4.9912E+00,454.53E-03,307.85E-03,1.012E+00,1.261E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-1.0851E-03,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,137.01E-06,0.0000E+00,-174.86E-09,0.000E+00,0.000E+00,Error,Error,Error,NAN,55.811E-03,-61.777E-03,6.5310E-03,-6.4772E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   13,  2025/12/19,09:06:15,5.0044E+00,5.5561E+00,5.0023E+00,5.0023E+00,145.31E-03,574.90E-03,637.63E-03,574.07E-03,574.07E-03,30.821E-03,2.8763E+00,2.8770E+00,-64.223E-03,0.9998E+00,-1.28E+00,Error,NAN,5.0644E+00,4.9450E+00,656.58E-03,492.32E-03,1.012E+00,1.142E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-1.3802E-03,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,159.51E-06,0.0000E+00,-23.742E-09,0.000E+00,0.000E+00,Error,Error,Error,NAN,60.579E-03,-58.599E-03,6.9375E-03,-5.4609E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   14,  2025/12/19,09:06:15,5.0166E+00,5.5696E+00,5.0144E+00,5.0144E+00,149.52E-03,524.16E-03,581.12E-03,523.19E-03,523.19E-03,31.786E-03,2.6278E+00,2.6295E+00,-94.093E-03,0.9994E+00,-2.05E+00,Error,NAN,5.0787E+00,4.9498E+00,630.47E-03,443.36E-03,1.012E+00,1.203E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-1.1225E-03,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,125.36E-06,0.0000E+00,27.337E-09,0.000E+00,0.000E+00,Error,Error,Error,NAN,58.990E-03,-61.777E-03,5.9213E-03,-6.6804E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   15,  2025/12/19,09:06:15,5.0288E+00,5.5831E+00,5.0265E+00,5.0265E+00,150.92E-03,473.29E-03,524.22E-03,471.97E-03,471.97E-03,35.370E-03,2.3761E+00,2.3801E+00,-136.77E-03,0.9983E+00,-3.29E+00,Error,NAN,5.0962E+00,4.9705E+00,592.58E-03,373.37E-03,1.013E+00,1.252E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-878.05E-06,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,159.15E-06,0.0000E+00,257.79E-09,0.000E+00,0.000E+00,Error,Error,Error,NAN,63.757E-03,-60.188E-03,7.0392E-03,-5.7658E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   16,  2025/12/19,09:06:15,5.0417E+00,5.5975E+00,5.0395E+00,5.0395E+00,150.33E-03,422.23E-03,467.75E-03,421.12E-03,421.12E-03,30.588E-03,2.1257E+00,2.1288E+00,-114.88E-03,0.9985E+00,-3.09E+00,Error,NAN,5.1026E+00,4.9864E+00,525.03E-03,345.03E-03,1.012E+00,1.243E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-994.36E-06,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,176.25E-06,0.0000E+00,-31.522E-09,0.000E+00,0.000E+00,Error,Error,Error,NAN,63.757E-03,-60.188E-03,7.2424E-03,-6.1723E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   17,  2025/12/19,09:06:15,5.0546E+00,5.6118E+00,5.0524E+00,5.0524E+00,150.68E-03,371.64E-03,411.73E-03,370.68E-03,370.68E-03,26.682E-03,1.8760E+00,1.8785E+00,-97.637E-03,0.9986E+00,-2.98E+00,Error,NAN,5.1328E+00,4.9991E+00,461.24E-03,312.01E-03,1.015E+00,1.241E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-808.66E-06,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,171.93E-06,0.0000E+00,-269.32E-09,0.000E+00,0.000E+00,Error,Error,Error,NAN,68.524E-03,-61.777E-03,6.0229E-03,-5.4609E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   18,  2025/12/19,09:06:16,5.0532E+00,5.6104E+00,5.0511E+00,5.0511E+00,146.74E-03,377.31E-03,418.04E-03,376.37E-03,376.37E-03,26.574E-03,1.9043E+00,1.9066E+00,-94.758E-03,0.9988E+00,-2.85E+00,Error,NAN,5.1121E+00,4.9880E+00,486.33E-03,310.29E-03,1.012E+00,1.289E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-779.41E-06,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,178.92E-06,0.0000E+00,222.23E-09,0.000E+00,0.000E+00,Error,Error,Error,NAN,60.579E-03,-60.188E-03,7.2424E-03,-6.7821E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   19,  2025/12/19,09:06:16,5.0403E+00,5.5959E+00,5.0381E+00,5.0381E+00,150.29E-03,428.89E-03,475.09E-03,427.73E-03,427.73E-03,31.424E-03,2.1586E+00,2.1617E+00,-115.73E-03,0.9986E+00,-3.07E+00,Error,NAN,5.1026E+00,4.9752E+00,546.46E-03,331.82E-03,1.012E+00,1.274E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-800.03E-06,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,202.79E-06,0.0000E+00,498.72E-09,0.000E+00,0.000E+00,Error,Error,Error,NAN,60.579E-03,-60.188E-03,6.6327E-03,-6.8837E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   20,  2025/12/19,09:06:16,5.0278E+00,5.5820E+00,5.0255E+00,5.0255E+00,150.92E-03,479.85E-03,531.53E-03,478.54E-03,478.54E-03,35.383E-03,2.4091E+00,2.4126E+00,-129.53E-03,0.9986E+00,-3.08E+00,Error,NAN,5.0914E+00,4.9657E+00,590.45E-03,372.96E-03,1.013E+00,1.230E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-829.44E-06,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,234.65E-06,0.0000E+00,-298.47E-09,0.000E+00,0.000E+00,Error,Error,Error,NAN,54.222E-03,-60.188E-03,6.6327E-03,-5.6642E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
