"Model","WT500 (760203)"
"Comment",""
"Version","1.31"
"Date","2026/03/18"
"Time","12:01:27"

"<Settings>"
"Wiring","NONE"
"Element","Element1","Element2","Element3"
"Module","1kV40A","1kV40A","1kV40A"
"Wiring","1P2W","1P2W","1P2W"
"Voltage Range","300V","60V","15V"
"Terminal","Direct","Direct","Direct"
"Current Range","     10A","     10A","     10A"
"Sensor Ratio","10.0000","10.0000","10.0000"
"Line Filter","Off","Off","Off"
"Frequency Filter","Off","Off","Off"
"Scaling","On"
"Vt Ratio","1.0000","1.0000","1.0000"
"Ct Ratio","1.0000","1.0000","1.0000"
"Scaling Factor","1.0000","1.0000","1.0000"
"Sync Source","U1","U1","U1"
"Average","Off"
"F1","Off"
"F2","Off"
"F3","Off"
"F4","Off"
"F5","Off"
"F6","Off"
"F7","Off"
"F8","Off"
"S,Q Formula","Type 1"
"Phase Angle","180 degree"
"Max Hold","Off"
"Null","Off"
"Measurement Mode","Normal Mode"
"Update Rate","100ms"
"Crest Factor","3"
"Delta Measure Mode","RMS"

"<Settings (Harmonics)>"
"PLL Source","U3"
"Order","1 To 50"
"THD Formula","Total"

"Store No.","Date","Time","Urms-E1","Umn-E1","Urmn-E1","Udc-E1","Uac-E1","Irms-E1","Imn-E1","Irmn-E1","Idc-E1","Iac-E1","P-E1","S-E1","Q-E1","PF-E1","DEG-E1","FU-E1","FI-E1","U+pk-E1","U-pk-E1","I+pk-E1","I-pk-E1","CfU-E1","CfI-E1","Time-E1","Wp-E1","Wp+-E1","Wp--E1","q-E1","q+-E1","q--E1","WS-E1","WQ-E1","Urms-E2","Umn-E2","Urmn-E2","Udc-E2","Uac-E2","Irms-E2","Imn-E2","Irmn-E2","Idc-E2","Iac-E2","P-E2","S-E2","Q-E2","PF-E2","DEG-E2","FU-E2","FI-E2","U+pk-E2","U-pk-E2","I+pk-E2","I-pk-E2","CfU-E2","CfI-E2","Time-E2","Wp-E2","Wp+-E2","Wp--E2","q-E2","q+-E2","q--E2","WS-E2","WQ-E2","eta1","eta2"
   12,  2026/03/18,12:01:06,131.13E+00,131.24E+00,118.16E+00,8.8733E-03,131.13E+00,2.3876E+00,2.4050E+00,2.1653E+00,1.2540E-03,2.3876E+00,-305.70E+00,313.07E+00,-67.547E+00,-0.9764E+00,-167.54E+00,49.994E+00,NAN,185.90E+00,-186.00E+00,3.4941E+00,-3.4876E+00,1.418E+00,1.463E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.811E+00,26.448E+00,23.811E+00,23.811E+00,0.000E+00,6.6426E+00,7.3778E+00,6.6424E+00,6.6424E+00,59.850E-03,158.16E+00,158.17E+00,1.4409E+00,1.0000E+00,0.52E+00,Error,NAN,23.903E+00,23.719E+00,6.7849E+00,6.4974E+00,1.004E+00,1.021E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   13,  2026/03/18,12:01:07,131.23E+00,131.36E+00,118.27E+00,8.3736E-03,131.23E+00,2.4353E+00,2.4535E+00,2.2089E+00,1.8974E-03,2.4353E+00,-312.35E+00,319.57E+00,-67.559E+00,-0.9774E+00,-167.80E+00,49.985E+00,NAN,186.00E+00,-186.06E+00,3.5774E+00,-3.5770E+00,1.418E+00,1.469E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.801E+00,26.437E+00,23.801E+00,23.801E+00,0.000E+00,6.8973E+00,7.6606E+00,6.8969E+00,6.8969E+00,70.285E-03,164.16E+00,164.16E+00,1.6915E+00,0.9999E+00,0.59E+00,Error,NAN,23.897E+00,23.706E+00,7.0430E+00,6.7524E+00,1.004E+00,1.021E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   14,  2026/03/18,12:01:07,131.29E+00,131.42E+00,118.32E+00,7.4041E-03,131.29E+00,2.3946E+00,2.4119E+00,2.1715E+00,2.0739E-03,2.3946E+00,-306.96E+00,314.38E+00,-67.886E+00,-0.9764E+00,-167.53E+00,49.980E+00,NAN,186.16E+00,-186.29E+00,3.5195E+00,-3.5130E+00,1.419E+00,1.470E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.809E+00,26.446E+00,23.809E+00,23.809E+00,0.000E+00,6.6701E+00,7.4082E+00,6.6697E+00,6.6697E+00,70.610E-03,158.80E+00,158.81E+00,1.6996E+00,0.9999E+00,0.61E+00,Error,NAN,23.897E+00,23.712E+00,6.8144E+00,6.4984E+00,1.004E+00,1.022E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   15,  2026/03/18,12:01:07,131.40E+00,131.55E+00,118.44E+00,6.4121E-03,131.40E+00,2.3785E+00,2.3956E+00,2.1568E+00,211.05E-06,2.3785E+00,-305.02E+00,312.53E+00,-68.083E+00,-0.9760E+00,-167.42E+00,49.988E+00,NAN,186.29E+00,-186.32E+00,3.5094E+00,-3.4947E+00,1.418E+00,1.475E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.814E+00,26.450E+00,23.814E+00,23.814E+00,0.000E+00,6.5932E+00,7.3228E+00,6.5929E+00,6.5929E+00,66.349E-03,157.00E+00,157.01E+00,1.6014E+00,0.9999E+00,0.58E+00,Error,NAN,23.909E+00,23.700E+00,6.7432E+00,6.4537E+00,1.004E+00,1.023E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   16,  2026/03/18,12:01:07,131.16E+00,131.32E+00,118.23E+00,8.4329E-03,131.16E+00,2.4216E+00,2.4398E+00,2.1966E+00,199.60E-06,2.4216E+00,-310.34E+00,317.62E+00,-67.619E+00,-0.9771E+00,-167.71E+00,49.983E+00,NAN,185.87E+00,-185.90E+00,3.5845E+00,-3.5780E+00,1.417E+00,1.480E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.804E+00,26.439E+00,23.804E+00,23.804E+00,0.000E+00,6.8250E+00,7.5800E+00,6.8244E+00,6.8244E+00,89.546E-03,162.45E+00,162.46E+00,2.1587E+00,0.9999E+00,0.76E+00,Error,NAN,23.890E+00,23.719E+00,6.9789E+00,6.6823E+00,1.004E+00,1.023E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   17,  2026/03/18,12:01:08,131.23E+00,131.38E+00,118.29E+00,8.5270E-03,131.23E+00,2.3686E+00,2.3857E+00,2.1479E+00,256.84E-06,2.3686E+00,-303.30E+00,310.83E+00,-68.000E+00,-0.9758E+00,-167.36E+00,49.990E+00,NAN,186.03E+00,-186.03E+00,3.5408E+00,-3.5313E+00,1.418E+00,1.495E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.814E+00,26.450E+00,23.814E+00,23.814E+00,0.000E+00,6.5821E+00,7.3101E+00,6.5814E+00,6.5814E+00,93.301E-03,156.73E+00,156.74E+00,2.2582E+00,0.9999E+00,0.83E+00,Error,NAN,23.909E+00,23.731E+00,6.7940E+00,6.4364E+00,1.004E+00,1.032E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   18,  2026/03/18,12:01:08,131.09E+00,131.24E+00,118.15E+00,8.2095E-03,131.09E+00,2.3837E+00,2.4014E+00,2.1620E+00,1.7505E-03,2.3837E+00,-305.08E+00,312.47E+00,-67.547E+00,-0.9764E+00,-167.52E+00,49.990E+00,NAN,185.68E+00,-185.68E+00,3.5043E+00,-3.4927E+00,1.416E+00,1.470E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.812E+00,26.448E+00,23.812E+00,23.812E+00,0.000E+00,6.6269E+00,7.3604E+00,6.6267E+00,6.6267E+00,55.997E-03,157.79E+00,157.80E+00,1.3550E+00,1.0000E+00,0.49E+00,Error,NAN,23.903E+00,23.731E+00,6.7432E+00,6.4720E+00,1.004E+00,1.018E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   19,  2026/03/18,12:01:09,131.26E+00,131.40E+00,118.31E+00,8.1830E-03,131.26E+00,2.4126E+00,2.4304E+00,2.1882E+00,1.1999E-03,2.4126E+00,-309.42E+00,316.68E+00,-67.432E+00,-0.9771E+00,-167.71E+00,49.990E+00,NAN,185.93E+00,-186.03E+00,3.5500E+00,-3.5587E+00,1.417E+00,1.475E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.806E+00,26.442E+00,23.806E+00,23.806E+00,0.000E+00,6.7973E+00,7.5494E+00,6.7968E+00,6.7968E+00,79.983E-03,161.80E+00,161.82E+00,1.9299E+00,0.9999E+00,0.68E+00,Error,NAN,23.903E+00,23.719E+00,6.9708E+00,6.6487E+00,1.004E+00,1.026E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   20,  2026/03/18,12:01:09,131.29E+00,131.43E+00,118.33E+00,13.908E-03,131.29E+00,2.3847E+00,2.4019E+00,2.1624E+00,1.8542E-03,2.3847E+00,-305.69E+00,313.09E+00,-67.658E+00,-0.9764E+00,-167.52E+00,49.990E+00,NAN,186.13E+00,-186.10E+00,3.5144E+00,-3.5140E+00,1.418E+00,1.474E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.811E+00,26.448E+00,23.811E+00,23.811E+00,0.000E+00,6.6430E+00,7.3779E+00,6.6424E+00,6.6424E+00,89.311E-03,158.16E+00,158.18E+00,2.1497E+00,0.9999E+00,0.78E+00,Error,NAN,23.903E+00,23.725E+00,6.8144E+00,6.4892E+00,1.004E+00,1.026E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   21,  2026/03/18,12:01:09,131.24E+00,131.40E+00,118.30E+00,2.7327E-03,131.24E+00,2.3779E+00,2.3950E+00,2.1562E+00,1.7621E-03,2.3779E+00,-304.65E+00,312.07E+00,-67.639E+00,-0.9762E+00,-167.48E+00,49.990E+00,NAN,186.06E+00,-186.13E+00,3.5165E+00,-3.5160E+00,1.418E+00,1.479E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.812E+00,26.449E+00,23.812E+00,23.812E+00,0.000E+00,6.6117E+00,7.3431E+00,6.6111E+00,6.6111E+00,86.733E-03,157.43E+00,157.44E+00,2.0879E+00,0.9999E+00,0.76E+00,Error,NAN,23.909E+00,23.693E+00,6.7849E+00,6.4374E+00,1.004E+00,1.026E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   22,  2026/03/18,12:01:09,131.23E+00,131.39E+00,118.29E+00,-2.8448E-03,131.23E+00,2.3789E+00,2.3963E+00,2.1574E+00,-1.1608E-03,2.3789E+00,-304.81E+00,312.18E+00,-67.434E+00,-0.9764E+00,-167.53E+00,49.998E+00,NAN,186.03E+00,-186.13E+00,3.5094E+00,-3.5110E+00,1.418E+00,1.476E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.812E+00,26.449E+00,23.812E+00,23.812E+00,0.000E+00,6.5995E+00,7.3298E+00,6.5991E+00,6.5991E+00,68.136E-03,157.14E+00,157.15E+00,1.6459E+00,0.9999E+00,0.60E+00,Error,NAN,23.897E+00,23.731E+00,6.7910E+00,6.4618E+00,1.004E+00,1.029E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   23,  2026/03/18,12:01:09,131.17E+00,131.32E+00,118.23E+00,683.66E-06,131.17E+00,2.3748E+00,2.3921E+00,2.1536E+00,-281.90E-06,2.3748E+00,-304.12E+00,311.50E+00,-67.396E+00,-0.9763E+00,-167.50E+00,49.998E+00,NAN,185.97E+00,-185.90E+00,3.5134E+00,-3.4988E+00,1.418E+00,1.479E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.814E+00,26.450E+00,23.814E+00,23.814E+00,0.000E+00,6.5858E+00,7.3146E+00,6.5854E+00,6.5854E+00,74.552E-03,156.82E+00,156.83E+00,1.8001E+00,0.9999E+00,0.66E+00,Error,NAN,23.903E+00,23.712E+00,6.7544E+00,6.4201E+00,1.004E+00,1.026E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   24,  2026/03/18,12:01:10,131.19E+00,131.34E+00,118.25E+00,4.7492E-03,131.19E+00,2.3797E+00,2.3975E+00,2.1585E+00,532.34E-06,2.3797E+00,-304.85E+00,312.20E+00,-67.358E+00,-0.9764E+00,-167.54E+00,49.988E+00,NAN,185.84E+00,-185.84E+00,3.4972E+00,-3.5028E+00,1.417E+00,1.472E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.812E+00,26.448E+00,23.812E+00,23.812E+00,0.000E+00,6.6185E+00,7.3507E+00,6.6180E+00,6.6180E+00,81.096E-03,157.59E+00,157.60E+00,1.9581E+00,0.9999E+00,0.71E+00,Error,NAN,23.903E+00,23.706E+00,6.8052E+00,6.4770E+00,1.004E+00,1.028E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   25,  2026/03/18,12:01:10,131.34E+00,131.49E+00,118.38E+00,-1.2787E-03,131.34E+00,2.3797E+00,2.3973E+00,2.1583E+00,132.41E-06,2.3797E+00,-305.17E+00,312.55E+00,-67.491E+00,-0.9764E+00,-167.53E+00,49.995E+00,NAN,185.90E+00,-186.00E+00,3.4921E+00,-3.4947E+00,1.416E+00,1.469E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.812E+00,26.449E+00,23.812E+00,23.812E+00,0.000E+00,6.6213E+00,7.3539E+00,6.6208E+00,6.6208E+00,80.860E-03,157.66E+00,157.67E+00,1.9496E+00,0.9999E+00,0.71E+00,Error,NAN,23.897E+00,23.731E+00,6.8123E+00,6.4791E+00,1.004E+00,1.029E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   26,  2026/03/18,12:01:10,131.33E+00,131.47E+00,118.37E+00,-5.2674E-03,131.33E+00,2.3739E+00,2.3914E+00,2.1530E+00,-1.0680E-03,2.3739E+00,-304.36E+00,311.75E+00,-67.502E+00,-0.9763E+00,-167.49E+00,49.990E+00,NAN,185.93E+00,-185.94E+00,3.4911E+00,-3.4805E+00,1.416E+00,1.471E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.814E+00,26.451E+00,23.814E+00,23.814E+00,0.000E+00,6.5898E+00,7.3190E+00,6.5894E+00,6.5894E+00,73.131E-03,156.92E+00,156.93E+00,1.7639E+00,0.9999E+00,0.64E+00,Error,NAN,23.916E+00,23.719E+00,6.7879E+00,6.4679E+00,1.004E+00,1.030E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   27,  2026/03/18,12:01:10,131.33E+00,131.48E+00,118.37E+00,3.4937E-03,131.33E+00,2.3759E+00,2.3935E+00,2.1549E+00,-683.50E-06,2.3759E+00,-304.65E+00,312.03E+00,-67.471E+00,-0.9763E+00,-167.51E+00,49.993E+00,NAN,186.00E+00,-185.97E+00,3.4931E+00,-3.4886E+00,1.416E+00,1.470E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.813E+00,26.450E+00,23.813E+00,23.813E+00,0.000E+00,6.5841E+00,7.3129E+00,6.5839E+00,6.5839E+00,58.983E-03,156.78E+00,156.79E+00,1.4190E+00,1.0000E+00,0.52E+00,Error,NAN,23.903E+00,23.712E+00,6.7585E+00,6.4659E+00,1.004E+00,1.026E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
