"Model","WT500 (760203)"
"Comment",""
"Version","1.31"
"Date","2026/03/18"
"Time","12:01:27"

"<Settings>"
"Wiring","NONE"
"Element","Element1","Element2","Element3"
"Module","1kV40A","1kV40A","1kV40A"
"Wiring","1P2W","1P2W","1P2W"
"Voltage Range","300V","60V","15V"
"Terminal","Direct","Direct","Direct"
"Current Range","     10A","     10A","     10A"
"Sensor Ratio","10.0000","10.0000","10.0000"
"Line Filter","Off","Off","Off"
"Frequency Filter","Off","Off","Off"
"Scaling","On"
"Vt Ratio","1.0000","1.0000","1.0000"
"Ct Ratio","1.0000","1.0000","1.0000"
"Scaling Factor","1.0000","1.0000","1.0000"
"Sync Source","U1","U1","U1"
"Average","Off"
"F1","Off"
"F2","Off"
"F3","Off"
"F4","Off"
"F5","Off"
"F6","Off"
"F7","Off"
"F8","Off"
"S,Q Formula","Type 1"
"Phase Angle","180 degree"
"Max Hold","Off"
"Null","Off"
"Measurement Mode","Normal Mode"
"Update Rate","100ms"
"Crest Factor","3"
"Delta Measure Mode","RMS"

"<Settings (Harmonics)>"
"PLL Source","U3"
"Order","1 To 50"
"THD Formula","Total"

"Store No.","Date","Time","Urms-E1","Umn-E1","Urmn-E1","Udc-E1","Uac-E1","Irms-E1","Imn-E1","Irmn-E1","Idc-E1","Iac-E1","P-E1","S-E1","Q-E1","PF-E1","DEG-E1","FU-E1","FI-E1","U+pk-E1","U-pk-E1","I+pk-E1","I-pk-E1","CfU-E1","CfI-E1","Time-E1","Wp-E1","Wp+-E1","Wp--E1","q-E1","q+-E1","q--E1","WS-E1","WQ-E1","Urms-E2","Umn-E2","Urmn-E2","Udc-E2","Uac-E2","Irms-E2","Imn-E2","Irmn-E2","Idc-E2","Iac-E2","P-E2","S-E2","Q-E2","PF-E2","DEG-E2","FU-E2","FI-E2","U+pk-E2","U-pk-E2","I+pk-E2","I-pk-E2","CfU-E2","CfI-E2","Time-E2","Wp-E2","Wp+-E2","Wp--E2","q-E2","q+-E2","q--E2","WS-E2","WQ-E2","eta1","eta2"
    1,  2026/03/18,12:01:03,131.09E+00,131.25E+00,118.17E+00,16.719E-03,131.09E+00,2.4427E+00,2.4617E+00,2.2163E+00,1.6962E-03,2.4427E+00,-312.94E+00,320.21E+00,-67.859E+00,-0.9773E+00,-167.77E+00,49.988E+00,NAN,185.14E+00,-185.40E+00,3.5388E+00,-3.5353E+00,1.414E+00,1.449E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.802E+00,26.437E+00,23.802E+00,23.802E+00,0.000E+00,6.8736E+00,7.6342E+00,6.8732E+00,6.8732E+00,67.743E-03,163.60E+00,163.61E+00,1.6340E+00,1.0000E+00,0.57E+00,Error,NAN,23.890E+00,23.706E+00,7.0033E+00,6.7056E+00,1.004E+00,1.019E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    2,  2026/03/18,12:01:04,131.03E+00,131.18E+00,118.10E+00,5.2988E-03,131.03E+00,2.4358E+00,2.4545E+00,2.2098E+00,1.0514E-03,2.4358E+00,-311.91E+00,319.17E+00,-67.681E+00,-0.9773E+00,-167.76E+00,49.987E+00,NAN,185.55E+00,-185.49E+00,3.5520E+00,-3.5455E+00,1.416E+00,1.458E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.803E+00,26.439E+00,23.803E+00,23.803E+00,0.000E+00,6.8539E+00,7.6125E+00,6.8537E+00,6.8537E+00,58.626E-03,163.14E+00,163.14E+00,1.4163E+00,1.0000E+00,0.50E+00,Error,NAN,23.897E+00,23.687E+00,6.9962E+00,6.6914E+00,1.004E+00,1.021E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    3,  2026/03/18,12:01:04,131.13E+00,131.27E+00,118.18E+00,9.3845E-03,131.13E+00,2.4042E+00,2.4218E+00,2.1804E+00,3.2697E-03,2.4042E+00,-307.85E+00,315.26E+00,-67.977E+00,-0.9765E+00,-167.55E+00,49.990E+00,NAN,185.74E+00,-185.94E+00,3.5063E+00,-3.5089E+00,1.418E+00,1.460E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.810E+00,26.446E+00,23.810E+00,23.810E+00,0.000E+00,6.6870E+00,7.4272E+00,6.6868E+00,6.6868E+00,0.000E+00,159.21E+00,159.22E+00,930.18E-03,1.0000E+00,0.33E+00,Error,NAN,23.916E+00,23.712E+00,6.7900E+00,6.5116E+00,1.004E+00,1.015E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    4,  2026/03/18,12:01:05,131.13E+00,131.27E+00,118.18E+00,-1.3215E-03,131.13E+00,2.4204E+00,2.4383E+00,2.1953E+00,-2.1516E-03,2.4204E+00,-310.11E+00,317.39E+00,-67.583E+00,-0.9771E+00,-167.71E+00,49.995E+00,NAN,186.06E+00,-185.97E+00,3.5551E+00,-3.5485E+00,1.419E+00,1.469E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.809E+00,26.445E+00,23.809E+00,23.809E+00,0.000E+00,6.7573E+00,7.5041E+00,6.7560E+00,6.7560E+00,129.35E-03,160.85E+00,160.88E+00,3.1247E+00,0.9998E+00,1.11E+00,Error,NAN,23.890E+00,23.725E+00,6.9068E+00,6.4781E+00,1.003E+00,1.022E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    5,  2026/03/18,12:01:05,131.24E+00,131.38E+00,118.28E+00,9.0379E-03,131.24E+00,2.3838E+00,2.4009E+00,2.1616E+00,1.2030E-03,2.3838E+00,-305.35E+00,312.86E+00,-68.142E+00,-0.9760E+00,-167.42E+00,49.992E+00,NAN,186.16E+00,-186.19E+00,3.5073E+00,-3.5028E+00,1.419E+00,1.471E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.814E+00,26.450E+00,23.814E+00,23.814E+00,0.000E+00,6.5863E+00,7.3152E+00,6.5860E+00,6.5860E+00,60.104E-03,156.84E+00,156.84E+00,1.4477E+00,1.0000E+00,0.53E+00,Error,NAN,23.909E+00,23.725E+00,6.6945E+00,6.4557E+00,1.004E+00,1.016E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    6,  2026/03/18,12:01:05,131.22E+00,131.37E+00,118.27E+00,6.9208E-03,131.22E+00,2.3754E+00,2.3926E+00,2.1541E+00,2.3854E-03,2.3754E+00,-304.14E+00,311.70E+00,-68.206E+00,-0.9758E+00,-167.36E+00,49.992E+00,NAN,186.06E+00,-186.16E+00,3.5022E+00,-3.4866E+00,1.419E+00,1.474E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.814E+00,26.451E+00,23.814E+00,23.814E+00,0.000E+00,6.5731E+00,7.3004E+00,6.5727E+00,6.5727E+00,72.949E-03,156.52E+00,156.53E+00,1.7556E+00,0.9999E+00,0.64E+00,Error,NAN,23.903E+00,23.731E+00,6.7016E+00,6.4395E+00,1.004E+00,1.020E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    7,  2026/03/18,12:01:05,131.27E+00,131.42E+00,118.32E+00,10.017E-03,131.27E+00,2.3794E+00,2.3966E+00,2.1577E+00,2.2771E-03,2.3794E+00,-304.79E+00,312.34E+00,-68.223E+00,-0.9759E+00,-167.38E+00,49.993E+00,NAN,185.87E+00,-185.94E+00,3.5002E+00,-3.4947E+00,1.416E+00,1.471E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.813E+00,26.449E+00,23.813E+00,23.813E+00,0.000E+00,6.5904E+00,7.3197E+00,6.5900E+00,6.5900E+00,74.296E-03,156.93E+00,156.94E+00,1.7870E+00,0.9999E+00,0.65E+00,Error,NAN,23.897E+00,23.725E+00,6.7219E+00,6.4455E+00,1.004E+00,1.020E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    8,  2026/03/18,12:01:06,131.17E+00,131.31E+00,118.22E+00,4.4328E-03,131.17E+00,2.3850E+00,2.4024E+00,2.1629E+00,1.7170E-03,2.3850E+00,-305.35E+00,312.83E+00,-67.983E+00,-0.9761E+00,-167.45E+00,49.989E+00,NAN,185.78E+00,-185.81E+00,3.4931E+00,-3.4947E+00,1.417E+00,1.465E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.813E+00,26.449E+00,23.813E+00,23.813E+00,0.000E+00,6.6103E+00,7.3419E+00,6.6100E+00,6.6100E+00,66.061E-03,157.40E+00,157.41E+00,1.5885E+00,0.9999E+00,0.58E+00,Error,NAN,23.922E+00,23.719E+00,6.7554E+00,6.4669E+00,1.005E+00,1.022E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    9,  2026/03/18,12:01:06,131.12E+00,131.26E+00,118.18E+00,10.419E-03,131.12E+00,2.4368E+00,2.4555E+00,2.2107E+00,815.70E-06,2.4368E+00,-312.30E+00,319.51E+00,-67.504E+00,-0.9774E+00,-167.80E+00,49.993E+00,NAN,185.68E+00,-185.59E+00,3.5469E+00,-3.5506E+00,1.416E+00,1.457E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.801E+00,26.437E+00,23.801E+00,23.801E+00,0.000E+00,6.8867E+00,7.6489E+00,6.8864E+00,6.8864E+00,59.786E-03,163.91E+00,163.91E+00,1.4389E+00,1.0000E+00,0.50E+00,Error,NAN,23.909E+00,23.693E+00,7.0226E+00,6.7382E+00,1.005E+00,1.020E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   10,  2026/03/18,12:01:06,131.04E+00,131.17E+00,118.09E+00,12.075E-03,131.04E+00,2.4189E+00,2.4371E+00,2.1942E+00,1.2337E-03,2.4189E+00,-309.72E+00,316.97E+00,-67.397E+00,-0.9771E+00,-167.72E+00,49.986E+00,NAN,185.58E+00,-185.68E+00,3.5459E+00,-3.5414E+00,1.417E+00,1.466E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.804E+00,26.440E+00,23.804E+00,23.804E+00,0.000E+00,6.8229E+00,7.5778E+00,6.8224E+00,6.8224E+00,80.387E-03,162.40E+00,162.41E+00,1.9405E+00,0.9999E+00,0.68E+00,Error,NAN,23.903E+00,23.706E+00,7.0003E+00,6.6569E+00,1.004E+00,1.026E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   11,  2026/03/18,12:01:06,131.06E+00,131.19E+00,118.11E+00,6.7930E-03,131.06E+00,2.3816E+00,2.3990E+00,2.1599E+00,1.0385E-03,2.3816E+00,-304.74E+00,312.13E+00,-67.537E+00,-0.9763E+00,-167.50E+00,49.989E+00,NAN,185.65E+00,-185.65E+00,3.4992E+00,-3.4846E+00,1.417E+00,1.469E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.812E+00,26.448E+00,23.812E+00,23.812E+00,0.000E+00,6.6137E+00,7.3454E+00,6.6132E+00,6.6132E+00,79.096E-03,157.47E+00,157.48E+00,1.9086E+00,0.9999E+00,0.69E+00,Error,NAN,23.897E+00,23.719E+00,6.7900E+00,6.4486E+00,1.004E+00,1.027E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
