"Model","WT500 (760203)"
"Comment",""
"Version","1.31"
"Date","2025/12/19"
"Time","12:02:11"

"<Settings>"
"Wiring","NONE"
"Element","Element1","Element2","Element3"
"Module","1kV40A","1kV40A","1kV40A"
"Wiring","1P2W","1P2W","1P2W"
"Voltage Range","15V","15V","15V"
"Terminal","Direct","Direct","Direct"
"Current Range","   500mA","   500mA","   500mA"
"Sensor Ratio","10.0000","10.0000","10.0000"
"Line Filter","Off","Off","Off"
"Frequency Filter","Off","Off","Off"
"Scaling","On"
"Vt Ratio","1.0000","1.0000","1.0000"
"Ct Ratio","1.0000","1.0000","1.0000"
"Scaling Factor","1.0000","1.0000","1.0000"
"Sync Source","U1","U1","U1"
"Average","Off"
"F1","Off"
"F2","Off"
"F3","Off"
"F4","Off"
"F5","Off"
"F6","Off"
"F7","Off"
"F8","Off"
"S,Q Formula","Type 1"
"Phase Angle","180 degree"
"Max Hold","Off"
"Null","Off"
"Measurement Mode","Normal Mode"
"Update Rate","100ms"
"Crest Factor","3"
"Delta Measure Mode","RMS"

"<Settings (Harmonics)>"
"PLL Source","U3"
"Order","1 To 50"
"THD Formula","Total"

"Store No.","Date","Time","Urms-E1","Umn-E1","Urmn-E1","Udc-E1","Uac-E1","Irms-E1","Imn-E1","Irmn-E1","Idc-E1","Iac-E1","P-E1","S-E1","Q-E1","PF-E1","DEG-E1","FU-E1","FI-E1","U+pk-E1","U-pk-E1","I+pk-E1","I-pk-E1","CfU-E1","CfI-E1","Time-E1","Wp-E1","Wp+-E1","Wp--E1","q-E1","q+-E1","q--E1","WS-E1","WQ-E1","Urms-E2","Umn-E2","Urmn-E2","Udc-E2","Uac-E2","Irms-E2","Imn-E2","Irmn-E2","Idc-E2","Iac-E2","P-E2","S-E2","Q-E2","PF-E2","DEG-E2","FU-E2","FI-E2","U+pk-E2","U-pk-E2","I+pk-E2","I-pk-E2","CfU-E2","CfI-E2","Time-E2","Wp-E2","Wp+-E2","Wp--E2","q-E2","q+-E2","q--E2","WS-E2","WQ-E2","eta1","eta2"
   11,  2025/12/19,11:57:56,5.0703E+00,5.6293E+00,5.0682E+00,5.0682E+00,147.35E-03,380.79E-03,421.94E-03,379.88E-03,379.88E-03,26.448E-03,1.9282E+00,1.9307E+00,98.836E-03,0.9987E+00,2.93E+00,Error,NAN,5.1403E+00,5.0034E+00,462.64E-03,306.71E-03,1.014E+00,1.215E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-752.49E-06,0.000E+00,0.00E-03,0.00E-03,0.00E-03,60.234E-06,0.00E-03,26.864E-09,0.0000E+00,0.0000E+00,Error,Error,Error,NAN,70.870E-03,-73.731E-03,6.7827E-03,-6.7334E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   12,  2025/12/19,11:57:56,5.0818E+00,5.6419E+00,5.0795E+00,5.0795E+00,152.52E-03,329.56E-03,365.09E-03,328.69E-03,328.69E-03,23.830E-03,1.6724E+00,1.6747E+00,88.061E-03,0.9986E+00,3.01E+00,Error,NAN,5.1451E+00,5.0194E+00,407.32E-03,279.28E-03,1.012E+00,1.236E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-577.28E-06,0.000E+00,0.00E-03,0.00E-03,0.00E-03,32.603E-06,0.00E-03,83.873E-09,0.0000E+00,0.0000E+00,Error,Error,Error,NAN,61.336E-03,-59.430E-03,6.0713E-03,-6.4794E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   13,  2025/12/19,11:57:56,5.0909E+00,5.6520E+00,5.0886E+00,5.0886E+00,152.71E-03,289.38E-03,321.11E-03,289.10E-03,289.10E-03,12.615E-03,1.4738E+00,1.4732E+00,0.0000E+00,1.0000E+00,0.00E+00,Error,NAN,5.1562E+00,5.0241E+00,325.70E-03,271.76E-03,1.013E+00,1.126E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-667.46E-06,0.000E+00,0.00E-03,0.00E-03,0.00E-03,27.009E-06,0.00E-03,-130.51E-09,0.0000E+00,0.0000E+00,Error,Error,Error,NAN,58.158E-03,-65.786E-03,6.1221E-03,-6.1745E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   14,  2025/12/19,11:57:56,5.0827E+00,5.6430E+00,5.0805E+00,5.0805E+00,151.64E-03,325.89E-03,361.12E-03,325.12E-03,325.12E-03,22.391E-03,1.6547E+00,1.6564E+00,75.396E-03,0.9990E+00,2.61E+00,Error,NAN,5.1515E+00,5.0066E+00,402.25E-03,279.79E-03,1.014E+00,1.234E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-715.11E-06,0.000E+00,0.00E-03,0.00E-03,0.00E-03,33.951E-06,0.00E-03,145.83E-09,0.0000E+00,0.0000E+00,Error,Error,Error,NAN,56.569E-03,-62.608E-03,7.1892E-03,-6.3778E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   15,  2025/12/19,11:57:56,5.0710E+00,5.6299E+00,5.0687E+00,5.0687E+00,152.25E-03,377.38E-03,417.89E-03,376.23E-03,376.23E-03,29.477E-03,1.9104E+00,1.9137E+00,113.07E-03,0.9983E+00,3.39E+00,Error,NAN,5.1371E+00,4.9971E+00,490.83E-03,304.62E-03,1.013E+00,1.301E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-732.01E-06,0.000E+00,0.00E-03,0.00E-03,0.00E-03,81.585E-06,0.00E-03,-85.660E-09,0.0000E+00,0.0000E+00,Error,Error,Error,NAN,54.980E-03,-61.019E-03,7.1384E-03,-6.7843E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   16,  2025/12/19,11:57:56,5.0593E+00,5.6171E+00,5.0572E+00,5.0572E+00,147.02E-03,428.36E-03,474.68E-03,427.36E-03,427.36E-03,29.268E-03,2.1648E+00,2.1672E+00,101.45E-03,0.9989E+00,2.68E+00,Error,NAN,5.1403E+00,4.9971E+00,518.36E-03,338.20E-03,1.016E+00,1.210E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-335.01E-06,0.000E+00,0.00E-03,0.00E-03,0.00E-03,57.541E-06,0.00E-03,280.72E-09,0.0000E+00,0.0000E+00,Error,Error,Error,NAN,56.569E-03,-65.786E-03,6.3254E-03,-6.1745E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   17,  2025/12/19,11:57:57,5.0469E+00,5.6032E+00,5.0447E+00,5.0447E+00,150.52E-03,479.30E-03,531.60E-03,478.61E-03,478.61E-03,25.698E-03,2.4187E+00,2.4190E+00,35.668E-03,0.9999E+00,0.84E+00,Error,NAN,5.1101E+00,4.9875E+00,531.92E-03,399.15E-03,1.013E+00,1.110E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-407.84E-06,0.000E+00,0.00E-03,0.00E-03,0.00E-03,63.399E-06,0.00E-03,130.44E-09,0.0000E+00,0.0000E+00,Error,Error,Error,NAN,62.925E-03,-67.375E-03,5.7664E-03,-7.0891E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   18,  2025/12/19,11:57:57,5.0385E+00,5.5940E+00,5.0364E+00,5.0364E+00,146.28E-03,518.20E-03,575.21E-03,517.87E-03,517.87E-03,18.481E-03,2.6125E+00,2.6110E+00,0.0000E+00,1.0000E+00,0.00E+00,Error,NAN,5.0989E+00,4.9875E+00,540.70E-03,468.38E-03,1.012E+00,1.043E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-616.61E-06,0.000E+00,0.00E-03,0.00E-03,0.00E-03,33.631E-06,0.00E-03,362.94E-09,0.0000E+00,0.0000E+00,Error,Error,Error,NAN,58.158E-03,-59.430E-03,6.0713E-03,-5.4123E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   19,  2025/12/19,11:57:57,5.0471E+00,5.6036E+00,5.0450E+00,5.0450E+00,146.61E-03,482.08E-03,534.67E-03,481.37E-03,481.37E-03,26.146E-03,2.4324E+00,2.4331E+00,60.783E-03,0.9997E+00,1.43E+00,Error,NAN,5.1212E+00,4.9875E+00,528.11E-03,397.78E-03,1.015E+00,1.095E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-517.34E-06,0.000E+00,0.00E-03,0.00E-03,0.00E-03,48.092E-06,0.00E-03,438.77E-09,0.0000E+00,0.0000E+00,Error,Error,Error,NAN,64.514E-03,-65.786E-03,6.7827E-03,-8.5119E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   20,  2025/12/19,11:57:57,5.0586E+00,5.6161E+00,5.0563E+00,5.0563E+00,151.80E-03,431.53E-03,478.08E-03,430.43E-03,430.43E-03,30.882E-03,2.1800E+00,2.1829E+00,112.32E-03,0.9987E+00,2.95E+00,Error,NAN,5.1340E+00,5.0003E+00,498.95E-03,351.45E-03,1.015E+00,1.156E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-435.56E-06,0.000E+00,0.00E-03,0.00E-03,0.00E-03,91.758E-06,0.00E-03,33.567E-09,0.0000E+00,0.0000E+00,Error,Error,Error,NAN,59.747E-03,-57.841E-03,6.7319E-03,-6.3778E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
