"Model","WT500 (760203)"
"Comment",""
"Version","1.31"
"Date","2025/12/19"
"Time","09:05:57"

"<Settings>"
"Wiring","NONE"
"Element","Element1","Element2","Element3"
"Module","1kV40A","1kV40A","1kV40A"
"Wiring","1P2W","1P2W","1P2W"
"Voltage Range","15V","15V","15V"
"Terminal","Direct","Direct","Direct"
"Current Range","      1A","      1A","      1A"
"Sensor Ratio","10.0000","10.0000","10.0000"
"Line Filter","Off","Off","Off"
"Frequency Filter","Off","Off","Off"
"Scaling","On"
"Vt Ratio","1.0000","1.0000","1.0000"
"Ct Ratio","1.0000","1.0000","1.0000"
"Scaling Factor","1.0000","1.0000","1.0000"
"Sync Source","U1","U1","U1"
"Average","Off"
"F1","Off"
"F2","Off"
"F3","Off"
"F4","Off"
"F5","Off"
"F6","Off"
"F7","Off"
"F8","Off"
"S,Q Formula","Type 1"
"Phase Angle","180 degree"
"Max Hold","Off"
"Null","Off"
"Measurement Mode","Normal Mode"
"Update Rate","100ms"
"Crest Factor","3"
"Delta Measure Mode","RMS"

"<Settings (Harmonics)>"
"PLL Source","U3"
"Order","1 To 50"
"THD Formula","Total"

"Store No.","Date","Time","Urms-E1","Umn-E1","Urmn-E1","Udc-E1","Uac-E1","Irms-E1","Imn-E1","Irmn-E1","Idc-E1","Iac-E1","P-E1","S-E1","Q-E1","PF-E1","DEG-E1","FU-E1","FI-E1","U+pk-E1","U-pk-E1","I+pk-E1","I-pk-E1","CfU-E1","CfI-E1","Time-E1","Wp-E1","Wp+-E1","Wp--E1","q-E1","q+-E1","q--E1","WS-E1","WQ-E1","Urms-E2","Umn-E2","Urmn-E2","Udc-E2","Uac-E2","Irms-E2","Imn-E2","Irmn-E2","Idc-E2","Iac-E2","P-E2","S-E2","Q-E2","PF-E2","DEG-E2","FU-E2","FI-E2","U+pk-E2","U-pk-E2","I+pk-E2","I-pk-E2","CfU-E2","CfI-E2","Time-E2","Wp-E2","Wp+-E2","Wp--E2","q-E2","q+-E2","q--E2","WS-E2","WQ-E2","eta1","eta2"
    1,  2025/12/19,09:04:51,5.1349E+00,5.7010E+00,5.1327E+00,5.1327E+00,149.02E-03,69.222E-03,73.865E-03,66.501E-03,66.501E-03,19.217E-03,341.75E-03,355.45E-03,-97.705E-03,0.9615E+00,-15.95E+00,Error,NAN,5.1996E+00,5.0691E+00,152.43E-03,25.656E-03,1.013E+00,2.202E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-1.0588E-03,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,212.68E-06,0.0000E+00,-383.51E-09,0.000E+00,0.000E+00,Error,Error,Error,NAN,57.401E-03,-60.188E-03,7.8522E-03,-5.6642E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    2,  2025/12/19,09:04:51,5.1344E+00,5.7005E+00,5.1323E+00,5.1323E+00,149.01E-03,68.959E-03,73.870E-03,66.506E-03,66.506E-03,18.229E-03,341.81E-03,354.07E-03,-92.353E-03,0.9654E+00,-15.12E+00,Error,NAN,5.1949E+00,5.0803E+00,131.00E-03,23.014E-03,1.012E+00,1.900E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-1.3896E-03,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,202.12E-06,0.0000E+00,73.716E-09,0.000E+00,0.000E+00,Error,Error,Error,NAN,55.811E-03,-64.955E-03,7.1408E-03,-5.1560E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    3,  2025/12/19,09:04:51,5.1347E+00,5.7007E+00,5.1324E+00,5.1324E+00,153.01E-03,69.278E-03,73.890E-03,66.525E-03,66.525E-03,19.337E-03,341.93E-03,355.72E-03,-98.080E-03,0.9612E+00,-16.01E+00,Error,NAN,5.1933E+00,5.0755E+00,149.69E-03,23.421E-03,1.011E+00,2.161E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-1.3348E-03,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,214.59E-06,0.0000E+00,-367.44E-09,0.000E+00,0.000E+00,Error,Error,Error,NAN,57.401E-03,-69.722E-03,7.2424E-03,-7.0869E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    4,  2025/12/19,09:04:51,5.1346E+00,5.7007E+00,5.1325E+00,5.1325E+00,149.00E-03,69.295E-03,73.851E-03,66.489E-03,66.489E-03,19.519E-03,341.72E-03,355.80E-03,-99.121E-03,0.9604E+00,-16.18E+00,Error,NAN,5.1965E+00,5.0723E+00,159.95E-03,23.827E-03,1.012E+00,2.308E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-1.3615E-03,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,177.60E-06,0.0000E+00,-482.32E-09,0.000E+00,0.000E+00,Error,Error,Error,NAN,66.935E-03,-63.366E-03,6.5310E-03,-6.8837E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    5,  2025/12/19,09:04:51,5.1346E+00,5.7005E+00,5.1323E+00,5.1323E+00,152.97E-03,68.864E-03,73.842E-03,66.481E-03,66.481E-03,17.959E-03,341.68E-03,353.59E-03,-90.981E-03,0.9663E+00,-14.91E+00,Error,NAN,5.2108E+00,5.0691E+00,151.31E-03,23.929E-03,1.015E+00,2.197E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-1.1737E-03,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,170.38E-06,0.0000E+00,88.515E-09,0.000E+00,0.000E+00,Error,Error,Error,NAN,55.811E-03,-63.366E-03,6.9375E-03,-7.1886E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    6,  2025/12/19,09:04:51,5.1347E+00,5.7008E+00,5.1325E+00,5.1325E+00,149.09E-03,69.263E-03,73.840E-03,66.479E-03,66.479E-03,19.437E-03,341.66E-03,355.64E-03,-98.732E-03,0.9607E+00,-16.12E+00,Error,NAN,5.2028E+00,5.0691E+00,133.43E-03,20.881E-03,1.013E+00,1.926E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-1.6436E-03,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,137.82E-06,0.0000E+00,633.37E-09,0.000E+00,0.000E+00,Error,Error,Error,NAN,57.401E-03,-71.311E-03,6.8359E-03,-6.6804E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    7,  2025/12/19,09:04:51,5.1343E+00,5.7003E+00,5.1320E+00,5.1320E+00,153.02E-03,68.905E-03,73.847E-03,66.486E-03,66.486E-03,18.099E-03,341.76E-03,353.78E-03,-91.439E-03,0.9660E+00,-14.98E+00,Error,NAN,5.1965E+00,5.0675E+00,129.88E-03,24.741E-03,1.012E+00,1.885E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-1.2433E-03,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,136.39E-06,0.0000E+00,202.43E-09,0.000E+00,0.000E+00,Error,Error,Error,NAN,57.401E-03,-53.832E-03,6.6327E-03,-6.1723E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    8,  2025/12/19,09:04:52,5.1345E+00,5.7006E+00,5.1324E+00,5.1324E+00,149.00E-03,68.882E-03,73.817E-03,66.459E-03,66.459E-03,18.109E-03,341.61E-03,353.67E-03,-91.603E-03,0.9659E+00,-15.01E+00,Error,NAN,5.1949E+00,5.0803E+00,134.96E-03,20.475E-03,1.012E+00,1.959E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-1.4135E-03,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,143.59E-06,0.0000E+00,69.524E-09,0.000E+00,0.000E+00,Error,Error,Error,NAN,54.222E-03,-58.599E-03,6.2261E-03,-7.2902E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
    9,  2025/12/19,09:04:52,5.1345E+00,5.7004E+00,5.1322E+00,5.1322E+00,152.99E-03,69.123E-03,73.813E-03,66.455E-03,66.455E-03,19.018E-03,341.54E-03,354.91E-03,-96.515E-03,0.9623E+00,-15.78E+00,Error,NAN,5.1981E+00,5.0787E+00,158.83E-03,23.421E-03,1.012E+00,2.298E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-1.2896E-03,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,161.37E-06,0.0000E+00,484.68E-09,0.000E+00,0.000E+00,Error,Error,Error,NAN,52.633E-03,-66.544E-03,7.0392E-03,-6.4772E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   10,  2025/12/19,09:04:52,5.1344E+00,5.7005E+00,5.1323E+00,5.1323E+00,149.03E-03,69.168E-03,73.797E-03,66.441E-03,66.441E-03,19.229E-03,341.52E-03,355.14E-03,-97.415E-03,0.9616E+00,-15.92E+00,Error,NAN,5.1949E+00,5.0787E+00,175.49E-03,22.710E-03,1.012E+00,2.537E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.000E+00,0.000E+00,0.000E+00,-1.2646E-03,0.000E+00,0.0000E+00,0.0000E+00,0.0000E+00,149.06E-06,0.0000E+00,551.40E-09,0.000E+00,0.000E+00,Error,Error,Error,NAN,57.401E-03,-60.188E-03,6.6327E-03,-5.5625E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
