"Model","WT500 (760203)"
"Comment",""
"Version","1.31"
"Date","2026/04/21"
"Time","09:33:19"

"<Settings>"
"Wiring","NONE"
"Element","Element1","Element2","Element3"
"Module","1kV40A","1kV40A","1kV40A"
"Wiring","1P2W","1P2W","1P2W"
"Voltage Range","300V","300V","300V"
"Terminal","Direct","Direct","Direct"
"Current Range","     40A","     40A","     40A"
"Sensor Ratio","10.0000","10.0000","10.0000"
"Line Filter","Off","Off","Off"
"Frequency Filter","Off","Off","Off"
"Scaling","On"
"Vt Ratio","1.0000","1.0000","1.0000"
"Ct Ratio","1.0000","1.0000","1.0000"
"Scaling Factor","1.0000","1.0000","1.0000"
"Sync Source","U1","U1","U1"
"Average","Off"
"F1","Off"
"F2","Off"
"F3","Off"
"F4","Off"
"F5","Off"
"F6","Off"
"F7","Off"
"F8","Off"
"S,Q Formula","Type 1"
"Phase Angle","180 degree"
"Max Hold","Off"
"Null","Off"
"Measurement Mode","Normal Mode"
"Update Rate","100ms"
"Crest Factor","3"
"Delta Measure Mode","RMS"

"<Settings (Harmonics)>"
"PLL Source","U3"
"Order","1 To 50"
"THD Formula","Total"

"Store No.","Date","Time","Urms-E1","Umn-E1","Urmn-E1","Udc-E1","Uac-E1","Irms-E1","Imn-E1","Irmn-E1","Idc-E1","Iac-E1","P-E1","S-E1","Q-E1","PF-E1","DEG-E1","FU-E1","FI-E1","U+pk-E1","U-pk-E1","I+pk-E1","I-pk-E1","CfU-E1","CfI-E1","Time-E1","Wp-E1","Wp+-E1","Wp--E1","q-E1","q+-E1","q--E1","WS-E1","WQ-E1","Urms-E2","Umn-E2","Urmn-E2","Udc-E2","Uac-E2","Irms-E2","Imn-E2","Irmn-E2","Idc-E2","Iac-E2","P-E2","S-E2","Q-E2","PF-E2","DEG-E2","FU-E2","FI-E2","U+pk-E2","U-pk-E2","I+pk-E2","I-pk-E2","CfU-E2","CfI-E2","Time-E2","Wp-E2","Wp+-E2","Wp--E2","q-E2","q+-E2","q--E2","WS-E2","WQ-E2","eta1","eta2"
   21,  2026/04/21,09:25:21,0.00E+00,0.00E+00,0.00E+00,-12.944E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,20.442E-03,0.000E+00,2.3660E-03,0.000E+03,0.000E+03,Error,Error,Error,NAN,500.59E-03,-390.81E-03,1.4314E+00,-36.142E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,235.85E+00,236.49E+00,212.91E+00,-9.8444E-03,235.85E+00,0.000E+00,0.000E+00,0.000E+00,302.91E-06,0.000E+00,-1.8246E+00,0.000E+03,0.000E+03,Error,Error,50.049E+00,NAN,342.44E+00,-342.37E+00,194.18E-03,-186.84E-03,1.452E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   22,  2026/04/21,09:25:23,1.5711E+00,0.00E+00,0.00E+00,576.10E-03,0.00E+00,6.8681E+00,2.8871E+00,2.5993E+00,2.5919E+00,6.3602E+00,10.859E+00,10.790E+00,0.000E+03,1.0000E+00,0.00E+00,Error,NAN,4.8621E+00,-390.81E-03,19.545E+00,-41.220E-03,3.095E+00,2.846E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,235.92E+00,236.53E+00,212.95E+00,18.148E-03,235.92E+00,0.000E+00,0.000E+00,0.000E+00,-5.0881E-03,0.000E+00,-1.5876E+00,0.000E+03,0.000E+03,Error,Error,50.057E+00,NAN,342.38E+00,-342.66E+00,67.174E-03,-257.97E-03,1.452E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   23,  2026/04/21,09:25:25,0.00E+00,0.00E+00,0.00E+00,-15.674E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-1.1167E-03,0.000E+00,20.812E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,373.25E-03,-390.81E-03,29.873E-03,-31.064E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,235.93E+00,236.54E+00,212.96E+00,27.796E-03,235.93E+00,0.000E+00,0.000E+00,0.000E+00,100.99E-06,0.000E+00,-4.1202E-03,0.000E+03,0.000E+03,Error,Error,50.053E+00,NAN,342.47E+00,-342.34E+00,77.335E-03,-69.995E-03,1.452E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   24,  2026/04/21,09:25:27,0.00E+00,0.00E+00,0.00E+00,-15.348E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-1.1711E-03,0.000E+00,6.9118E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,341.41E-03,-358.97E-03,34.951E-03,-31.064E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,236.10E+00,236.72E+00,213.12E+00,21.083E-03,236.10E+00,0.000E+00,0.000E+00,0.000E+00,26.671E-06,0.000E+00,10.198E-03,0.000E+03,0.000E+03,Error,Error,50.055E+00,NAN,342.82E+00,-342.63E+00,67.174E-03,-64.914E-03,1.452E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   25,  2026/04/21,09:25:29,0.00E+00,0.00E+00,0.00E+00,-16.820E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-1.1387E-03,0.000E+00,17.533E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,405.08E-03,-390.81E-03,29.873E-03,-41.220E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,236.17E+00,236.75E+00,213.15E+00,40.270E-03,236.17E+00,0.000E+00,0.000E+00,0.000E+00,1.1582E-03,0.000E+00,-171.85E-03,0.000E+03,0.000E+03,Error,Error,50.053E+00,NAN,340.34E+00,-340.46E+00,148.46E-03,-64.914E-03,1.442E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   26,  2026/04/21,09:25:31,0.00E+00,0.00E+00,0.00E+00,-17.261E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-599.38E-06,0.000E+00,2.8899E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,405.08E-03,-358.97E-03,29.873E-03,-41.220E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,236.20E+00,236.78E+00,213.18E+00,6.5562E-03,236.20E+00,0.000E+00,0.000E+00,0.000E+00,557.73E-06,0.000E+00,-1.6901E+00,0.000E+03,0.000E+03,Error,Error,50.053E+00,NAN,340.69E+00,-340.53E+00,168.78E-03,-176.68E-03,1.442E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   27,  2026/04/21,09:25:33,2.2307E+00,0.00E+00,0.00E+00,1.0992E+00,1.9411E+00,9.5850E+00,5.3145E+00,4.7847E+00,4.7819E+00,8.3070E+00,21.373E+00,21.381E+00,-597.23E-03,0.9996E+00,-1.60E+00,Error,NAN,5.0212E+00,-390.81E-03,19.946E+00,-25.986E-03,2.251E+00,2.081E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,236.30E+00,236.90E+00,213.28E+00,12.313E-03,236.30E+00,242.77E-03,0.000E+00,0.000E+00,-8.7084E-03,242.61E-03,-26.960E+00,57.367E+00,-50.637E+00,-0.4700E+00,-118.03E+00,50.064E+00,NAN,340.69E+00,-340.75E+00,1.0477E+00,-1.1115E+00,1.442E+00,4.578E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   28,  2026/04/21,09:25:35,0.00E+00,0.00E+00,0.00E+00,-17.262E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-857.77E-06,0.000E+00,7.8261E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,405.08E-03,-454.48E-03,34.951E-03,-36.142E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,236.23E+00,236.81E+00,213.21E+00,17.987E-03,236.23E+00,0.000E+00,0.000E+00,0.000E+00,131.90E-06,0.000E+00,7.3336E-03,0.000E+03,0.000E+03,Error,Error,50.052E+00,NAN,340.69E+00,-340.66E+00,72.254E-03,-69.995E-03,1.442E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   29,  2026/04/21,09:25:37,0.00E+00,0.00E+00,0.00E+00,-14.515E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-828.25E-06,0.000E+00,6.9284E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,405.08E-03,-358.97E-03,40.029E-03,-36.142E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,236.28E+00,236.87E+00,213.26E+00,60.519E-03,236.28E+00,0.000E+00,0.000E+00,0.000E+00,68.882E-06,0.000E+00,-6.8194E-03,0.000E+03,0.000E+03,Error,Error,50.053E+00,NAN,340.66E+00,-340.56E+00,67.174E-03,-64.914E-03,1.442E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   30,  2026/04/21,09:25:39,0.00E+00,0.00E+00,0.00E+00,-17.846E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-953.23E-06,0.000E+00,10.872E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,341.41E-03,-390.81E-03,40.029E-03,-36.142E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,236.33E+00,236.91E+00,213.30E+00,59.547E-03,236.33E+00,0.000E+00,0.000E+00,0.000E+00,40.029E-06,0.000E+00,-23.905E-03,0.000E+03,0.000E+03,Error,Error,50.059E+00,NAN,340.79E+00,-340.66E+00,67.174E-03,-69.995E-03,1.442E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   31,  2026/04/21,09:25:41,0.00E+00,0.00E+00,0.00E+00,-17.067E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-948.42E-06,0.000E+00,14.883E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,341.41E-03,-422.64E-03,29.873E-03,-31.064E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,236.24E+00,236.84E+00,213.23E+00,14.494E-03,236.24E+00,0.000E+00,0.000E+00,0.000E+00,105.99E-06,0.000E+00,13.516E-03,0.000E+03,0.000E+03,Error,Error,50.054E+00,NAN,340.72E+00,-340.59E+00,77.335E-03,-69.995E-03,1.442E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   32,  2026/04/21,09:25:43,0.00E+00,0.00E+00,0.00E+00,-18.287E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-205.25E-06,0.000E+00,-12.284E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,373.25E-03,-390.81E-03,29.873E-03,-36.142E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,236.18E+00,236.74E+00,213.14E+00,11.720E-03,236.18E+00,0.000E+00,0.000E+00,0.000E+00,-4.3296E-06,0.000E+00,-1.7042E+00,0.000E+03,0.000E+03,Error,Error,50.050E+00,NAN,340.85E+00,-340.75E+00,163.70E-03,-161.44E-03,1.443E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   33,  2026/04/21,09:25:45,3.2697E+00,0.00E+00,0.00E+00,2.3053E+00,2.3188E+00,14.029E+00,11.030E+00,9.9304E+00,9.9292E+00,9.9106E+00,45.856E+00,45.870E+00,-1.1479E+00,0.9997E+00,-1.43E+00,Error,NAN,5.1486E+00,-358.97E-03,20.586E+00,-31.064E-03,1.575E+00,1.467E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,235.55E+00,236.17E+00,212.63E+00,77.007E-03,235.55E+00,404.00E-03,0.000E+00,0.000E+00,32.087E-03,402.73E-03,-65.922E+00,95.161E+00,-68.629E+00,-0.6927E+00,-133.85E+00,50.048E+00,NAN,340.12E+00,-340.02E+00,1.1493E+00,-1.1521E+00,1.444E+00,2.852E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   34,  2026/04/21,09:25:47,0.00E+00,0.00E+00,0.00E+00,-11.262E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-1.0787E-03,0.000E+00,21.362E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,373.25E-03,-390.81E-03,34.951E-03,-31.064E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,235.87E+00,236.41E+00,212.84E+00,101.17E-03,235.87E+00,0.000E+00,0.000E+00,0.000E+00,186.65E-06,0.000E+00,-129.08E-03,0.000E+03,0.000E+03,Error,Error,50.044E+00,NAN,340.98E+00,-340.88E+00,72.254E-03,-161.44E-03,1.446E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   35,  2026/04/21,09:25:49,0.00E+00,0.00E+00,0.00E+00,-17.093E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-723.57E-06,0.000E+00,20.741E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,341.41E-03,-390.81E-03,29.873E-03,-36.142E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,236.24E+00,236.72E+00,213.13E+00,130.17E-03,236.24E+00,0.000E+00,0.000E+00,0.000E+00,206.20E-06,0.000E+00,-3.3098E-03,0.000E+03,0.000E+03,Error,Error,50.037E+00,NAN,340.79E+00,-340.91E+00,67.174E-03,-69.995E-03,1.443E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   36,  2026/04/21,09:25:51,0.00E+00,0.00E+00,0.00E+00,-16.573E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-991.21E-06,0.000E+00,12.922E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,341.41E-03,-390.81E-03,29.873E-03,-36.142E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,236.35E+00,236.83E+00,213.22E+00,77.568E-03,236.35E+00,0.000E+00,0.000E+00,0.000E+00,571.83E-06,0.000E+00,53.033E-03,0.000E+03,0.000E+03,Error,Error,50.040E+00,NAN,341.07E+00,-341.04E+00,72.254E-03,-69.995E-03,1.443E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   37,  2026/04/21,09:25:53,0.00E+00,0.00E+00,0.00E+00,-17.516E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-430.67E-06,0.000E+00,1.5618E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,341.41E-03,-358.97E-03,34.951E-03,-36.142E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,236.14E+00,236.63E+00,213.04E+00,55.771E-03,236.14E+00,0.000E+00,0.000E+00,0.000E+00,3.6671E-06,0.000E+00,-25.521E-03,0.000E+03,0.000E+03,Error,Error,50.027E+00,NAN,340.69E+00,-340.62E+00,72.254E-03,-64.914E-03,1.443E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   38,  2026/04/21,09:25:55,0.00E+00,0.00E+00,0.00E+00,-16.363E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-132.87E-06,0.000E+00,11.171E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,341.41E-03,-358.97E-03,40.029E-03,-31.064E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,236.32E+00,236.80E+00,213.20E+00,-2.4049E-03,236.32E+00,0.000E+00,0.000E+00,0.000E+00,539.08E-06,0.000E+00,-1.7350E+00,0.000E+03,0.000E+03,Error,Error,50.037E+00,NAN,340.98E+00,-340.85E+00,158.62E-03,-156.36E-03,1.443E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   39,  2026/04/21,09:25:57,3.9334E+00,0.00E+00,0.00E+00,3.4290E+00,1.9270E+00,16.927E+00,16.414E+00,14.778E+00,14.777E+00,8.2555E+00,66.558E+00,66.580E+00,-1.7265E+00,0.9997E+00,-1.49E+00,Error,NAN,5.0849E+00,-358.97E-03,20.073E+00,-20.908E-03,1.293E+00,1.186E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,236.02E+00,236.50E+00,212.93E+00,-60.444E-03,236.02E+00,451.62E-03,0.000E+00,0.000E+00,-1.3122E-03,451.62E-03,-90.628E+00,106.59E+00,-56.106E+00,-0.8503E+00,-148.24E+00,50.036E+00,NAN,340.72E+00,-340.75E+00,1.0985E+00,-1.0810E+00,1.444E+00,2.432E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   40,  2026/04/21,09:25:59,0.00E+00,0.00E+00,0.00E+00,-12.235E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-507.80E-06,0.000E+00,-1.0100E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,373.25E-03,-358.97E-03,34.951E-03,-31.064E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,236.14E+00,236.61E+00,213.03E+00,-81.816E-03,236.14E+00,0.000E+00,0.000E+00,0.000E+00,178.95E-06,0.000E+00,-565.58E-03,0.000E+03,0.000E+03,Error,Error,50.033E+00,NAN,340.63E+00,-340.62E+00,163.70E-03,-156.36E-03,1.442E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   41,  2026/04/21,09:26:01,0.00E+00,0.00E+00,0.00E+00,-12.888E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-271.08E-06,0.000E+00,-6.7443E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,436.92E-03,-454.48E-03,34.951E-03,-31.064E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,236.00E+00,236.48E+00,212.90E+00,-56.975E-03,236.00E+00,0.000E+00,0.000E+00,0.000E+00,572.95E-06,0.000E+00,-451.95E-03,0.000E+03,0.000E+03,Error,Error,50.044E+00,NAN,340.22E+00,-340.31E+00,163.70E-03,-151.28E-03,1.442E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   42,  2026/04/21,09:26:03,0.00E+00,0.00E+00,0.00E+00,-12.247E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-802.55E-06,0.000E+00,-696.58E-09,0.000E+03,0.000E+03,Error,Error,Error,NAN,373.25E-03,-390.81E-03,40.029E-03,-36.142E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,236.05E+00,236.52E+00,212.94E+00,-49.417E-03,236.05E+00,0.000E+00,0.000E+00,0.000E+00,836.96E-06,0.000E+00,-198.22E-03,0.000E+03,0.000E+03,Error,Error,50.042E+00,NAN,340.53E+00,-340.50E+00,148.46E-03,-64.914E-03,1.443E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   43,  2026/04/21,09:26:05,0.00E+00,0.00E+00,0.00E+00,-13.751E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-647.73E-06,0.000E+00,15.311E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,341.41E-03,-422.64E-03,40.029E-03,-36.142E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,236.06E+00,236.55E+00,212.97E+00,-20.335E-03,236.06E+00,0.000E+00,0.000E+00,0.000E+00,494.20E-06,0.000E+00,-158.73E-03,0.000E+03,0.000E+03,Error,Error,50.039E+00,NAN,340.53E+00,-340.69E+00,173.86E-03,-69.995E-03,1.443E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   44,  2026/04/21,09:26:07,0.00E+00,0.00E+00,0.00E+00,-12.221E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-616.79E-06,0.000E+00,-5.3453E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,373.25E-03,-358.97E-03,40.029E-03,-36.142E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,236.04E+00,236.54E+00,212.96E+00,12.542E-03,236.04E+00,0.000E+00,0.000E+00,0.000E+00,432.13E-06,0.000E+00,-1.7273E+00,0.000E+03,0.000E+03,Error,Error,50.047E+00,NAN,340.50E+00,-340.46E+00,178.94E-03,-176.68E-03,1.443E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   45,  2026/04/21,09:26:09,4.5426E+00,0.00E+00,0.00E+00,4.5216E+00,0.00E+00,19.571E+00,21.651E+00,19.493E+00,19.493E+00,1.7488E+00,88.883E+00,88.904E+00,-1.9037E+00,0.9998E+00,-1.23E+00,Error,NAN,5.1486E+00,787.11E-03,20.637E+00,4.3158E+00,1.133E+00,1.054E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,235.68E+00,236.19E+00,212.65E+00,88.355E-03,235.68E+00,608.93E-03,0.000E+00,0.000E+00,60.587E-03,605.91E-03,-116.15E+00,143.51E+00,-84.288E+00,-0.8093E+00,-144.03E+00,50.045E+00,NAN,340.03E+00,-340.15E+00,2.5210E+00,-1.0911E+00,1.443E+00,4.140E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   46,  2026/04/21,09:26:11,0.00E+00,0.00E+00,0.00E+00,-13.346E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-953.76E-06,0.000E+00,15.733E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,341.41E-03,-390.81E-03,34.951E-03,-31.064E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,235.84E+00,236.33E+00,212.77E+00,87.356E-03,235.84E+00,0.000E+00,0.000E+00,0.000E+00,516.11E-06,0.000E+00,-530.16E-03,0.000E+03,0.000E+03,Error,Error,50.048E+00,NAN,340.12E+00,-340.12E+00,163.70E-03,-141.12E-03,1.442E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   47,  2026/04/21,09:26:13,0.00E+00,0.00E+00,0.00E+00,-12.782E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-1.0942E-03,0.000E+00,17.991E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,341.41E-03,-422.64E-03,34.951E-03,-31.064E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,235.93E+00,236.39E+00,212.83E+00,111.55E-03,235.93E+00,0.000E+00,0.000E+00,0.000E+00,373.55E-06,0.000E+00,-529.52E-03,0.000E+03,0.000E+03,Error,Error,50.042E+00,NAN,340.38E+00,-340.53E+00,158.62E-03,-151.28E-03,1.443E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   48,  2026/04/21,09:26:15,0.00E+00,0.00E+00,0.00E+00,-12.374E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-990.00E-06,0.000E+00,12.939E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,341.41E-03,-358.97E-03,29.873E-03,-31.064E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,236.15E+00,236.64E+00,213.05E+00,42.355E-03,236.15E+00,0.000E+00,0.000E+00,0.000E+00,-177.79E-06,0.000E+00,-504.41E-03,0.000E+03,0.000E+03,Error,Error,50.050E+00,NAN,340.66E+00,-340.72E+00,148.46E-03,-161.44E-03,1.443E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   49,  2026/04/21,09:26:17,0.00E+00,0.00E+00,0.00E+00,-8.3807E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-572.42E-06,0.000E+00,17.143E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,373.25E-03,-390.81E-03,40.029E-03,-36.142E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,235.87E+00,236.37E+00,212.80E+00,16.611E-03,235.87E+00,0.000E+00,0.000E+00,0.000E+00,-216.45E-06,0.000E+00,-527.31E-03,0.000E+03,0.000E+03,Error,Error,50.055E+00,NAN,340.12E+00,-340.08E+00,158.62E-03,-141.12E-03,1.442E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   50,  2026/04/21,09:26:19,0.00E+00,0.00E+00,0.00E+00,-14.392E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,414.14E-06,0.000E+00,-26.403E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,373.25E-03,-390.81E-03,40.029E-03,-31.064E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,236.15E+00,236.65E+00,213.06E+00,10.851E-03,236.15E+00,0.000E+00,0.000E+00,0.000E+00,335.81E-06,0.000E+00,-1.7319E+00,0.000E+03,0.000E+03,Error,Error,50.058E+00,NAN,340.53E+00,-340.69E+00,153.54E-03,-166.52E-03,1.443E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   51,  2026/04/21,09:26:21,3.8436E+00,0.00E+00,0.00E+00,3.3017E+00,1.9678E+00,16.585E+00,15.852E+00,14.272E+00,14.270E+00,8.4513E+00,63.796E+00,63.745E+00,0.000E+03,1.0000E+00,0.00E+00,Error,NAN,5.0849E+00,-327.14E-03,20.083E+00,-41.220E-03,1.323E+00,1.211E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,236.00E+00,236.50E+00,212.92E+00,-6.6026E-03,236.00E+00,510.68E-03,0.000E+00,0.000E+00,-55.476E-03,507.66E-03,-85.674E+00,120.52E+00,-84.762E+00,-0.7109E+00,-135.31E+00,50.059E+00,NAN,340.57E+00,-340.53E+00,1.1544E+00,-2.1174E+00,1.443E+00,4.146E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   52,  2026/04/21,09:26:23,0.00E+00,0.00E+00,0.00E+00,-14.649E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-701.81E-06,0.000E+00,3.6364E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,341.41E-03,-358.97E-03,34.951E-03,-41.220E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,236.16E+00,236.63E+00,213.04E+00,-57.278E-03,236.16E+00,0.000E+00,0.000E+00,0.000E+00,10.227E-06,0.000E+00,-551.98E-03,0.000E+03,0.000E+03,Error,Error,50.046E+00,NAN,340.41E+00,-340.46E+00,153.54E-03,-166.52E-03,1.442E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
