"Model","WT500 (760203)"
"Comment",""
"Version","1.31"
"Date","2026/04/21"
"Time","09:33:19"

"<Settings>"
"Wiring","NONE"
"Element","Element1","Element2","Element3"
"Module","1kV40A","1kV40A","1kV40A"
"Wiring","1P2W","1P2W","1P2W"
"Voltage Range","300V","300V","300V"
"Terminal","Direct","Direct","Direct"
"Current Range","     40A","     40A","     40A"
"Sensor Ratio","10.0000","10.0000","10.0000"
"Line Filter","Off","Off","Off"
"Frequency Filter","Off","Off","Off"
"Scaling","On"
"Vt Ratio","1.0000","1.0000","1.0000"
"Ct Ratio","1.0000","1.0000","1.0000"
"Scaling Factor","1.0000","1.0000","1.0000"
"Sync Source","U1","U1","U1"
"Average","Off"
"F1","Off"
"F2","Off"
"F3","Off"
"F4","Off"
"F5","Off"
"F6","Off"
"F7","Off"
"F8","Off"
"S,Q Formula","Type 1"
"Phase Angle","180 degree"
"Max Hold","Off"
"Null","Off"
"Measurement Mode","Normal Mode"
"Update Rate","100ms"
"Crest Factor","3"
"Delta Measure Mode","RMS"

"<Settings (Harmonics)>"
"PLL Source","U3"
"Order","1 To 50"
"THD Formula","Total"

"Store No.","Date","Time","Urms-E1","Umn-E1","Urmn-E1","Udc-E1","Uac-E1","Irms-E1","Imn-E1","Irmn-E1","Idc-E1","Iac-E1","P-E1","S-E1","Q-E1","PF-E1","DEG-E1","FU-E1","FI-E1","U+pk-E1","U-pk-E1","I+pk-E1","I-pk-E1","CfU-E1","CfI-E1","Time-E1","Wp-E1","Wp+-E1","Wp--E1","q-E1","q+-E1","q--E1","WS-E1","WQ-E1","Urms-E2","Umn-E2","Urmn-E2","Udc-E2","Uac-E2","Irms-E2","Imn-E2","Irmn-E2","Idc-E2","Iac-E2","P-E2","S-E2","Q-E2","PF-E2","DEG-E2","FU-E2","FI-E2","U+pk-E2","U-pk-E2","I+pk-E2","I-pk-E2","CfU-E2","CfI-E2","Time-E2","Wp-E2","Wp+-E2","Wp--E2","q-E2","q+-E2","q--E2","WS-E2","WQ-E2","eta1","eta2"
   11,  2026/04/21,09:25:01,0.00E+00,0.00E+00,0.00E+00,-17.310E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-979.36E-06,0.000E+00,13.192E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,373.25E-03,-358.97E-03,34.951E-03,-46.298E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,235.71E+00,236.34E+00,212.78E+00,93.939E-03,235.71E+00,0.000E+00,0.000E+00,0.000E+00,-72.363E-06,0.000E+00,-535.73E-03,0.000E+03,0.000E+03,Error,Error,50.035E+00,NAN,342.19E+00,-342.09E+00,168.78E-03,-156.36E-03,1.452E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   12,  2026/04/21,09:25:03,0.00E+00,0.00E+00,0.00E+00,-15.931E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-785.52E-06,0.000E+00,-874.89E-09,0.000E+03,0.000E+03,Error,Error,Error,NAN,309.58E-03,-358.97E-03,34.951E-03,-36.142E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,235.75E+00,236.39E+00,212.83E+00,91.982E-03,235.75E+00,0.000E+00,0.000E+00,0.000E+00,-431.78E-06,0.000E+00,-593.27E-03,0.000E+03,0.000E+03,Error,Error,50.036E+00,NAN,342.38E+00,-342.31E+00,148.46E-03,-181.76E-03,1.452E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   13,  2026/04/21,09:25:05,0.00E+00,0.00E+00,0.00E+00,-14.665E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-1.0413E-03,0.000E+00,-1.6800E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,373.25E-03,-390.81E-03,34.951E-03,-41.220E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,235.56E+00,236.16E+00,212.62E+00,127.21E-03,235.56E+00,0.000E+00,0.000E+00,0.000E+00,-224.46E-06,0.000E+00,-505.43E-03,0.000E+03,0.000E+03,Error,Error,50.034E+00,NAN,342.03E+00,-341.93E+00,163.70E-03,-156.36E-03,1.452E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   14,  2026/04/21,09:25:07,0.00E+00,0.00E+00,0.00E+00,-15.309E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-813.29E-06,0.000E+00,26.386E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,436.92E-03,-327.14E-03,29.873E-03,-36.142E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,235.62E+00,236.22E+00,212.67E+00,165.88E-03,235.62E+00,0.000E+00,0.000E+00,0.000E+00,-296.77E-06,0.000E+00,-887.47E-03,0.000E+03,0.000E+03,Error,Error,50.031E+00,NAN,341.93E+00,-341.96E+00,163.70E-03,-171.60E-03,1.451E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   15,  2026/04/21,09:25:09,0.00E+00,0.00E+00,0.00E+00,-13.057E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,1.3745E-03,0.000E+00,-21.855E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,341.41E-03,-358.97E-03,34.951E-03,-31.064E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,235.59E+00,236.21E+00,212.66E+00,129.80E-03,235.59E+00,0.000E+00,0.000E+00,0.000E+00,-232.53E-06,0.000E+00,-1.7995E+00,0.000E+03,0.000E+03,Error,Error,50.035E+00,NAN,341.90E+00,-341.89E+00,168.78E-03,-166.52E-03,1.451E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   16,  2026/04/21,09:25:11,2.7942E+00,0.00E+00,0.00E+00,1.7690E+00,2.1629E+00,12.117E+00,8.5846E+00,7.7288E+00,7.7245E+00,9.3356E+00,33.927E+00,33.858E+00,0.000E+03,1.0000E+00,0.00E+00,Error,NAN,5.1167E+00,-358.97E-03,20.164E+00,-36.142E-03,1.831E+00,1.664E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,235.49E+00,236.15E+00,212.61E+00,160.24E-03,235.49E+00,422.00E-03,0.000E+00,0.000E+00,94.961E-03,411.18E-03,-46.438E+00,99.376E+00,-87.859E+00,-0.4673E+00,-117.86E+00,50.031E+00,NAN,341.87E+00,-341.86E+00,2.2416E+00,-862.52E-03,1.452E+00,5.312E+00,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   17,  2026/04/21,09:25:13,0.00E+00,0.00E+00,0.00E+00,-17.014E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-734.15E-06,0.000E+00,26.737E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,373.25E-03,-422.64E-03,29.873E-03,-46.298E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,235.64E+00,236.32E+00,212.76E+00,30.488E-03,235.64E+00,0.000E+00,0.000E+00,0.000E+00,-11.539E-06,0.000E+00,-355.84E-03,0.000E+03,0.000E+03,Error,Error,50.031E+00,NAN,341.96E+00,-342.09E+00,163.70E-03,-146.20E-03,1.452E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   18,  2026/04/21,09:25:15,0.00E+00,0.00E+00,0.00E+00,-17.709E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-1.0259E-03,0.000E+00,16.353E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,341.41E-03,-422.64E-03,29.873E-03,-31.064E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,235.42E+00,236.12E+00,212.58E+00,-23.079E-03,235.42E+00,0.000E+00,0.000E+00,0.000E+00,11.175E-06,0.000E+00,-289.82E-03,0.000E+03,0.000E+03,Error,Error,50.040E+00,NAN,341.61E+00,-341.64E+00,143.38E-03,-161.44E-03,1.451E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   19,  2026/04/21,09:25:17,0.00E+00,0.00E+00,0.00E+00,-17.455E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-700.68E-06,0.000E+00,16.939E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,309.58E-03,-390.81E-03,29.873E-03,-36.142E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,235.75E+00,236.39E+00,212.83E+00,-48.886E-03,235.75E+00,0.000E+00,0.000E+00,0.000E+00,449.03E-06,0.000E+00,-532.02E-03,0.000E+03,0.000E+03,Error,Error,50.044E+00,NAN,342.31E+00,-342.37E+00,163.70E-03,-151.28E-03,1.452E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
   20,  2026/04/21,09:25:19,0.00E+00,0.00E+00,0.00E+00,-13.723E-03,0.00E+00,0.000E+00,0.000E+00,0.000E+00,-909.92E-06,0.000E+00,9.6759E-06,0.000E+03,0.000E+03,Error,Error,Error,NAN,373.25E-03,-390.81E-03,34.951E-03,-36.142E-03,Error,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,235.80E+00,236.42E+00,212.85E+00,12.427E-03,235.80E+00,0.000E+00,0.000E+00,0.000E+00,395.55E-06,0.000E+00,-1.5177E+00,0.000E+03,0.000E+03,Error,Error,50.050E+00,NAN,342.31E+00,-342.40E+00,163.70E-03,-166.52E-03,1.452E+00,Error,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
